sheet,company,calendar_quarter,type,period_status,kpi,value,yoy,yoy_vs_last_q,yoy_vs_last_y,qoq
CASY,CASY US EQUITY,2025-03-31,canonical,,operating_margin_gaap,3.5138,-35.09,,,-287.85
CASY,CASY US EQUITY,2025-06-30,canonical,,operating_margin_gaap,3.8964,37.75,,,38.26
CASY,CASY US EQUITY,2025-09-30,canonical,,operating_margin_gaap,6.6849,55.05,,,278.85
CASY,CASY US EQUITY,2025-12-31,canonical,,operating_margin_gaap,6.6284,23.61,,,-5.64999999999998
CASY,CASY US EQUITY,2025-03-31,custom,,prepared_foods_sss_growth,0.047,-280,,,-50
CASY,CASY US EQUITY,2025-06-30,custom,,prepared_foods_sss_growth,0.015,-730,,,-320
CASY,CASY US EQUITY,2025-09-30,custom,,prepared_foods_sss_growth,0.056,120,,,410
CASY,CASY US EQUITY,2025-12-31,custom,,prepared_foods_sss_growth,0.048,-40,,,-80
CASY,CASY US EQUITY,2025-03-31,custom,,grocery_sss_growth,0.033,50,,,-30
CASY,CASY US EQUITY,2025-06-30,custom,,grocery_sss_growth,0.018,-250,,,-150
CASY,CASY US EQUITY,2025-09-30,custom,,grocery_sss_growth,0.038,220,,,200
CASY,CASY US EQUITY,2025-12-31,custom,,grocery_sss_growth,0.027,-90,,,-110
CASY,CASY US EQUITY,2025-03-31,custom,,fuel_sss_growth,0.018,220,,,240
CASY,CASY US EQUITY,2025-06-30,custom,,fuel_sss_growth,0.001,-80,,,-170
CASY,CASY US EQUITY,2025-09-30,custom,,fuel_sss_growth,0.017,100,,,160
CASY,CASY US EQUITY,2025-12-31,custom,,fuel_sss_growth,0.008,140,,,-90
MUSA,MUSA US EQUITY,2025-06-30,canonical,,revenue,5005,-0.0819377441898856,-162.235174623839,-580.003359469666,0.105979581915411
MUSA,MUSA US EQUITY,2025-09-30,canonical,,revenue,5110,-0.0245299226877923,574.078215020933,719.532867501076,0.020979020979021
MUSA,MUSA US EQUITY,2025-12-31,canonical,,revenue,4743.6,0.00704823369565233,315.781563834446,777.736376294447,-0.071702544031311
MUSA,MUSA US EQUITY,2025-06-30,canonical,,gross_margin_gaap,13.894,137.7,,,172.37
MUSA,MUSA US EQUITY,2025-09-30,canonical,,gross_margin_gaap,13.9299,52.37,,,3.58999999999998
MUSA,MUSA US EQUITY,2025-12-31,canonical,,gross_margin_gaap,15.3861,89.2600000000002,,,145.62
MUSA,MUSA US EQUITY,2025-06-30,canonical,,operating_margin_gaap,4.9756,50.32,,,276.1
MUSA,MUSA US EQUITY,2025-09-30,canonical,,operating_margin_gaap,4.4883,-29.02,,,-48.73
MUSA,MUSA US EQUITY,2025-12-31,canonical,,operating_margin_gaap,5.0571,24.21,,,56.88
MUSA,MUSA US EQUITY,2025-03-31,custom,,petroleum_sss_growth,-0.018,-90,,,100
MUSA,MUSA US EQUITY,2025-06-30,custom,,petroleum_sss_growth,-0.032,-190,,,-140
MUSA,MUSA US EQUITY,2025-09-30,custom,,petroleum_sss_growth,-0.026,-310,,,60
MUSA,MUSA US EQUITY,2025-12-31,custom,,petroleum_sss_growth,-0.006,220,,,200
MUSA,MUSA US EQUITY,2025-03-31,custom,,merchandise_sss,38.4,0.0158730158730158,-147.392290249433,-57.4860574860581,-0.0495049504950495
MUSA,MUSA US EQUITY,2025-06-30,custom,,merchandise_sss,42.8,0,-158.730158730158,-515.970515970514,0.114583333333333
MUSA,MUSA US EQUITY,2025-09-30,custom,,merchandise_sss,46.5,0.0889929742388758,889.929742388758,698.998954799257,0.0864485981308412
MUSA,MUSA US EQUITY,2025-12-31,custom,,merchandise_sss,40.7,0.00742574257425743,-815.672316646183,-231.865023237017,-0.124731182795699
ORLY,ORLY US EQUITY,2025-06-30,canonical,,revenue,4525.058,0.0591865878969646,187.755463099377,92.4545998589288,0.093821883118955
ORLY,ORLY US EQUITY,2025-09-30,canonical,,revenue,4705.696,0.0781908411096321,190.042532126675,398.747716607601,0.0399194883247904
ORLY,ORLY US EQUITY,2025-12-31,canonical,,revenue,4414.314,0.0778183714673377,-3.72469642294426,90.3315011512484,-0.0619211270766321
ORLY,ORLY US EQUITY,2025-06-30,canonical,,gross_margin_gaap,51.4145,66.6399999999996,,,13.2799999999996
ORLY,ORLY US EQUITY,2025-09-30,canonical,,gross_margin_gaap,51.8509,26.9800000000004,,,43.6400000000006
ORLY,ORLY US EQUITY,2025-12-31,canonical,,gross_margin_gaap,51.79,49.0299999999998,,,-6.09000000000037
ORLY,ORLY US EQUITY,2025-06-30,canonical,,operating_margin_gaap,20.209,0.169999999999959,,,228.59
ORLY,ORLY US EQUITY,2025-09-30,canonical,,operating_margin_gaap,20.7422,19.6000000000002,,,53.3200000000001
ORLY,ORLY US EQUITY,2025-12-31,canonical,,operating_margin_gaap,18.771,73.5800000000001,,,-197.12
ORLY,ORLY US EQUITY,2025-03-31,custom,,sss_growth,0.036,19.9999999999999,,,-80
ORLY,ORLY US EQUITY,2025-06-30,custom,,sss_growth,0.041,180,,,50
ORLY,ORLY US EQUITY,2025-09-30,custom,,sss_growth,0.056,410,,,150
ORLY,ORLY US EQUITY,2025-12-31,custom,,sss_growth,0.056,120,,,0
VVV,VVV US EQUITY,2025-03-31,canonical,,revenue,403.2,0.0373038332904554,-722.301784931547,-909.980535019974,-0.0267921795800146
VVV,VVV US EQUITY,2025-06-30,canonical,,revenue,439,0.041765543426673,44.6171013621766,-783.833135642893,0.0887896825396826
VVV,VVV US EQUITY,2025-09-30,canonical,,revenue,453.8,0.042020665901263,2.55122474589919,-746.460007654037,0.0337129840546697
VVV,VVV US EQUITY,2025-12-31,canonical,,revenue,461.8,0.114651218923485,726.305530222224,51.1720713987529,0.0176289114147201
VVV,VVV US EQUITY,2026-03-31,canonical,,revenue,505.72101828317,0.254268398519768,1396.17179596283,2169.64565229313,0.0951083115703129
VVV,VVV US EQUITY,2026-06-30,canonical,,revenue,541.769541704265,0.234099183836595,-201.692146831729,1923.33640409922,0.0712814419765919
VVV,VVV US EQUITY,2026-09-30,canonical,,revenue,560.263672644328,0.234604831741577,5.05647904982309,1925.84165840314,0.0341365276495331
VVV,VVV US EQUITY,2026-12-31,canonical,,revenue,535.220562120326,0.158987791512184,-756.170402293939,443.365725886982,-0.0446987940620943
VVV,VVV US EQUITY,2027-03-31,canonical,,revenue,551.636967838074,0.0907930418054996,-681.947497066839,-1634.75356714268,0.0306722253956624
VVV,VVV US EQUITY,2027-06-30,canonical,,revenue,589.762975585866,0.0885864379356311,-22.0660386986848,-1455.12745900964,0.0691143088129345
VVV,VVV US EQUITY,2027-09-30,canonical,,revenue,604.563461241987,0.079069535935774,-95.1690199985711,-1555.35295805803,0.0250956507424345
VVV,VVV US EQUITY,2025-03-31,canonical,,gross_margin_gaap,37.3264,-28.6200000000001,-109.11,-112.09,42.08
VVV,VVV US EQUITY,2025-06-30,canonical,,gross_margin_gaap,40.4556,70.7099999999997,99.3299999999998,101.71,312.92
VVV,VVV US EQUITY,2025-09-30,canonical,,gross_margin_gaap,39.1141,0.959999999999894,-69.7499999999998,-106.930000000001,-134.15
VVV,VVV US EQUITY,2025-12-31,canonical,,gross_margin_gaap,37.3538,44.82,43.8600000000001,-35.6699999999996,-176.03
VVV,VVV US EQUITY,2026-03-31,canonical,,gross_margin_gaap,37.750494412137,42.4094412137009,-2.41055878629908,71.029441213701,39.6694412137009
VVV,VVV US EQUITY,2026-06-30,canonical,,gross_margin_gaap,39.7166271571727,-73.897284282728,-116.306725496429,-144.607284282728,196.613274503571
VVV,VVV US EQUITY,2026-09-30,canonical,,gross_margin_gaap,38.8352112257336,-27.8888774266427,46.0084068560853,-28.8488774266426,-88.1415931439143
VVV,VVV US EQUITY,2026-12-31,canonical,,gross_margin_gaap,37.162287615726,-19.1512384274013,8.73763899924143,-63.9712384274013,-167.292361000759
VVV,VVV US EQUITY,2027-03-31,canonical,,gross_margin_gaap,37.74067755301,-0.981685912700669,18.1695525147006,-43.3911271264016,57.8389937284015
VVV,VVV US EQUITY,2027-06-30,canonical,,gross_margin_gaap,40.3143883002014,59.7761143028706,60.7578002155712,133.673398585599,257.371074719142
VVV,VVV US EQUITY,2027-09-30,canonical,,gross_margin_gaap,39.9054301318975,107.021890616396,47.2457763135253,134.910768043039,-40.895816830389
VVV,VVV US EQUITY,2025-03-31,canonical,,operating_margin_gaap,16.5923,-306.3,-2095.37,-495.34,-1811.68
VVV,VVV US EQUITY,2025-06-30,canonical,,operating_margin_gaap,21.5718,-59.2400000000001,247.06,23.6499999999996,497.95
VVV,VVV US EQUITY,2025-09-30,canonical,,operating_margin_gaap,18.6205,-1228.65,-1169.41,-2519.35,-295.13
VVV,VVV US EQUITY,2025-12-31,canonical,,operating_margin_gaap,3.9628,-3074.63,-1845.98,-4863.7,-1465.77
VVV,VVV US EQUITY,2026-03-31,canonical,,operating_margin_gaap,17.6391818147239,104.688181472392,3179.31818147239,410.988181472392,1367.63818147239
VVV,VVV US EQUITY,2026-06-30,canonical,,operating_margin_gaap,20.6395287998659,-93.2271200134096,-197.915301485802,-33.9871200134095,300.034698514198
VVV,VVV US EQUITY,2026-09-30,canonical,,operating_margin_gaap,20.2276481700032,160.714817000323,253.941937013732,1389.36481700032,-41.1880629862676
VVV,VVV US EQUITY,2026-12-31,canonical,,operating_margin_gaap,17.296481918761,1333.3681918761,1172.65337487578,4407.9981918761,-293.116625124224
VVV,VVV US EQUITY,2027-03-31,canonical,,operating_margin_gaap,18.1470707593238,50.7888944599916,-1282.57929741611,-53.8992870124009,85.0588840562857
VVV,VVV US EQUITY,2027-06-30,canonical,,operating_margin_gaap,21.8621865186354,122.265771876946,71.4768774169542,215.492891890355,371.511575931152
VVV,VVV US EQUITY,2027-09-30,canonical,,operating_margin_gaap,21.6324731671693,140.482499716611,18.2167278396648,-20.2323172837122,-22.9713351466028
VVV,VVV US EQUITY,2025-03-31,custom,,sss_growth,0.058,-190,-280,,-220
VVV,VVV US EQUITY,2025-06-30,custom,,sss_growth,0.049,-160,30,,-90
VVV,VVV US EQUITY,2025-09-30,custom,,sss_growth,0.06,60,220,,110
VVV,VVV US EQUITY,2025-12-31,custom,,sss_growth,0.058,-220,-280,-310,-19.9999999999999
VVV,VVV US EQUITY,2026-03-31,custom,,sss_growth,0.0535030953363599,-44.9690466364013,175.030953363599,145.030953363599,-44.9690466364013
VVV,VVV US EQUITY,2026-06-30,custom,,sss_growth,0.0575141700404858,85.1417004048582,130.110747041259,245.141700404858,40.1107470412594
VVV,VVV US EQUITY,2026-09-30,custom,,sss_growth,0.0505118670886076,-94.881329113924,-180.023029518782,-154.881329113924,-70.0230295187822
VVV,VVV US EQUITY,2026-12-31,custom,,sss_growth,0.035506801399145,-224.93198600855,-130.050656894626,-4.93198600855038,-150.050656894626
VVV,VVV US EQUITY,2027-03-31,custom,,sss_growth,0.0404988540870894,-130.042412492705,94.8895735158455,-85.0733658563037,49.9205268794442
VVV,VVV US EQUITY,2027-06-30,custom,,sss_growth,0.0375028079371022,-200.113621033836,-70.0712085411311,-285.255321438694,-29.9604614998717
VVV,VVV US EQUITY,2027-09-30,custom,,sss_growth,0.04099486991572,-95.1699717288755,104.943649304961,-0.288642614951485,34.9206197861783
