sheet,company,calendar_quarter,type,period_status,kpi,value,yoy,yoy_vs_last_q,yoy_vs_last_y,qoq
CASY,CASY US EQUITY,2025-03-31,canonical,,operating_margin_gaap,3.5138,-35.09,,,-287.85
CASY,CASY US EQUITY,2025-06-30,canonical,,operating_margin_gaap,3.8964,37.75,,,38.26
CASY,CASY US EQUITY,2025-09-30,canonical,,operating_margin_gaap,6.6849,55.05,,,278.85
CASY,CASY US EQUITY,2025-12-31,canonical,,operating_margin_gaap,6.6284,23.61,,,-5.64999999999998
CASY,CASY US EQUITY,2025-03-31,custom,,prepared_foods_sss_growth,0.047,-280,,,-50
CASY,CASY US EQUITY,2025-06-30,custom,,prepared_foods_sss_growth,0.015,-730,,,-320
CASY,CASY US EQUITY,2025-09-30,custom,,prepared_foods_sss_growth,0.056,120,,,410
CASY,CASY US EQUITY,2025-12-31,custom,,prepared_foods_sss_growth,0.048,-40,,,-80
CASY,CASY US EQUITY,2025-03-31,custom,,grocery_sss_growth,0.033,50,,,-30
CASY,CASY US EQUITY,2025-06-30,custom,,grocery_sss_growth,0.018,-250,,,-150
CASY,CASY US EQUITY,2025-09-30,custom,,grocery_sss_growth,0.038,220,,,200
CASY,CASY US EQUITY,2025-12-31,custom,,grocery_sss_growth,0.027,-90,,,-110
CASY,CASY US EQUITY,2025-03-31,custom,,fuel_sss_growth,0.018,220,,,240
CASY,CASY US EQUITY,2025-06-30,custom,,fuel_sss_growth,0.001,-80,,,-170
CASY,CASY US EQUITY,2025-09-30,custom,,fuel_sss_growth,0.017,100,,,160
CASY,CASY US EQUITY,2025-12-31,custom,,fuel_sss_growth,0.008,140,,,-90
MUSA,MUSA US EQUITY,2025-06-30,canonical,,revenue,5005,-0.0819377441898856,-162.235174623839,-580.003359469666,0.105979581915411
MUSA,MUSA US EQUITY,2025-09-30,canonical,,revenue,5110,-0.0245299226877923,574.078215020933,719.532867501076,0.020979020979021
MUSA,MUSA US EQUITY,2025-12-31,canonical,,revenue,4743.6,0.00704823369565233,315.781563834446,777.736376294447,-0.071702544031311
MUSA,MUSA US EQUITY,2025-06-30,canonical,,gross_margin_gaap,13.894,137.7,,,172.37
MUSA,MUSA US EQUITY,2025-09-30,canonical,,gross_margin_gaap,13.9299,52.37,,,3.58999999999998
MUSA,MUSA US EQUITY,2025-12-31,canonical,,gross_margin_gaap,15.3861,89.2600000000002,,,145.62
MUSA,MUSA US EQUITY,2025-06-30,canonical,,operating_margin_gaap,4.9756,50.32,,,276.1
MUSA,MUSA US EQUITY,2025-09-30,canonical,,operating_margin_gaap,4.4883,-29.02,,,-48.73
MUSA,MUSA US EQUITY,2025-12-31,canonical,,operating_margin_gaap,5.0571,24.21,,,56.88
MUSA,MUSA US EQUITY,2025-03-31,custom,,petroleum_sss_growth,-0.018,-90,,,100
MUSA,MUSA US EQUITY,2025-06-30,custom,,petroleum_sss_growth,-0.032,-190,,,-140
MUSA,MUSA US EQUITY,2025-09-30,custom,,petroleum_sss_growth,-0.026,-310,,,60
MUSA,MUSA US EQUITY,2025-12-31,custom,,petroleum_sss_growth,-0.006,220,,,200
MUSA,MUSA US EQUITY,2025-03-31,custom,,merchandise_sss,38.4,0.0158730158730158,-147.392290249433,-57.4860574860581,-0.0495049504950495
MUSA,MUSA US EQUITY,2025-06-30,custom,,merchandise_sss,42.8,0,-158.730158730158,-515.970515970514,0.114583333333333
MUSA,MUSA US EQUITY,2025-09-30,custom,,merchandise_sss,46.5,0.0889929742388758,889.929742388758,698.998954799257,0.0864485981308412
MUSA,MUSA US EQUITY,2025-12-31,custom,,merchandise_sss,40.7,0.00742574257425743,-815.672316646183,-231.865023237017,-0.124731182795699
ORLY,ORLY US EQUITY,2025-06-30,canonical,,revenue,4525.058,0.0591865878969646,187.755463099377,92.4545998589288,0.093821883118955
ORLY,ORLY US EQUITY,2025-09-30,canonical,,revenue,4705.696,0.0781908411096321,190.042532126675,398.747716607601,0.0399194883247904
ORLY,ORLY US EQUITY,2025-12-31,canonical,,revenue,4414.314,0.0778183714673377,-3.72469642294426,90.3315011512484,-0.0619211270766321
ORLY,ORLY US EQUITY,2025-06-30,canonical,,gross_margin_gaap,51.4145,66.6399999999996,,,13.2799999999996
ORLY,ORLY US EQUITY,2025-09-30,canonical,,gross_margin_gaap,51.8509,26.9800000000004,,,43.6400000000006
ORLY,ORLY US EQUITY,2025-12-31,canonical,,gross_margin_gaap,51.79,49.0299999999998,,,-6.09000000000037
ORLY,ORLY US EQUITY,2025-06-30,canonical,,operating_margin_gaap,20.209,0.169999999999959,,,228.59
ORLY,ORLY US EQUITY,2025-09-30,canonical,,operating_margin_gaap,20.7422,19.6000000000002,,,53.3200000000001
ORLY,ORLY US EQUITY,2025-12-31,canonical,,operating_margin_gaap,18.771,73.5800000000001,,,-197.12
ORLY,ORLY US EQUITY,2025-03-31,custom,,sss_growth,0.036,19.9999999999999,,,-80
ORLY,ORLY US EQUITY,2025-06-30,custom,,sss_growth,0.041,180,,,50
ORLY,ORLY US EQUITY,2025-09-30,custom,,sss_growth,0.056,410,,,150
ORLY,ORLY US EQUITY,2025-12-31,custom,,sss_growth,0.056,120,,,0
DXPE,DXPE US EQUITY,2025-03-31,canonical,,revenue,476.569,0.15494080725096,-19.7097624173326,1823.57504755126,0.0120085620729051
DXPE,DXPE US EQUITY,2025-06-30,canonical,,revenue,498.682,0.119235292533374,-357.055147175862,783.13883319282,0.0464004163090759
DXPE,DXPE US EQUITY,2025-09-30,canonical,,revenue,513.724,0.0862465243638133,-329.887681695609,-418.062557263001,0.0301635110150358
DXPE,DXPE US EQUITY,2025-12-31,canonical,,revenue,527.39,0.119928479510059,336.819551462459,-369.833039826344,0.0266018328908129
DXPE,DXPE US EQUITY,2026-03-31,canonical,,revenue,531,0.114214311044151,-57.1416846590833,-407.264962068095,0.00684502929520847
DXPE,DXPE US EQUITY,2026-06-30,canonical,,revenue,557.7,0.118347965236363,41.3365419221212,-8.87327297011131,0.0502824858757063
DXPE,DXPE US EQUITY,2026-09-30,canonical,,revenue,563.7,0.0972818089090639,-210.661563272991,110.352845452506,0.0107584722969338
DXPE,DXPE US EQUITY,2026-12-31,canonical,,revenue,575.3,0.0908435882364094,-64.3822067265454,-290.848912736499,0.020578321802377
DXPE,DXPE US EQUITY,2027-03-31,canonical,,revenue,564.5,0.0630885122410547,-277.550759953547,-511.257988030962,-0.018772814183904
DXPE,DXPE US EQUITY,2027-06-30,canonical,,revenue,587.5,0.053433745741438,-96.5476649961672,-649.14219494925,0.0407440212577501
DXPE,DXPE US EQUITY,2027-09-30,canonical,,revenue,598,0.0608479687777186,74.1422303628059,-364.338401313453,0.0178723404255319
DXPE,DXPE US EQUITY,2027-12-31,canonical,,revenue,608.5,0.0577090213801497,-31.3894739756893,-331.345668562597,0.0175585284280937
DXPE,DXPE US EQUITY,2025-03-31,canonical,,gross_margin_gaap,31.5306,150.84,15.3300000000002,95.8399999999997,-0.209999999999866
DXPE,DXPE US EQUITY,2025-06-30,canonical,,gross_margin_gaap,31.646,71.9899999999999,-78.8499999999999,59.7499999999997,11.5400000000001
DXPE,DXPE US EQUITY,2025-09-30,canonical,,gross_margin_gaap,31.3902,49.5899999999999,-22.4,-44.9100000000001,-25.5800000000001
DXPE,DXPE US EQUITY,2025-12-31,canonical,,gross_margin_gaap,31.5878,5.5100000000003,-44.0799999999996,-129.999999999999,19.7600000000001
DXPE,DXPE US EQUITY,2026-03-31,canonical,,gross_margin_gaap,31.8,26.9400000000001,21.4299999999998,-123.9,21.2199999999999
DXPE,DXPE US EQUITY,2026-06-30,canonical,,gross_margin_gaap,31.8,15.4,-11.5400000000001,-56.5899999999999,0
DXPE,DXPE US EQUITY,2026-09-30,canonical,,gross_margin_gaap,31.8,40.9800000000001,25.5800000000001,-8.60999999999983,0
DXPE,DXPE US EQUITY,2026-12-31,canonical,,gross_margin_gaap,31.8,21.2199999999999,-19.7600000000001,15.7099999999996,0
DXPE,DXPE US EQUITY,2027-03-31,canonical,,gross_margin_gaap,31.8,0,-21.2199999999999,-26.9400000000001,0
DXPE,DXPE US EQUITY,2027-06-30,canonical,,gross_margin_gaap,31.8,0,0,-15.4,0
DXPE,DXPE US EQUITY,2027-09-30,canonical,,gross_margin_gaap,31.8,0,0,-40.9800000000001,0
DXPE,DXPE US EQUITY,2027-12-31,canonical,,gross_margin_gaap,31.8,0,0,-21.2199999999999,0
DXPE,DXPE US EQUITY,2025-03-31,canonical,,operating_margin_gaap,8.5014,144.16,46.5,272.54,15.78
DXPE,DXPE US EQUITY,2025-06-30,canonical,,operating_margin_gaap,9.2215,83.83,-60.33,121.13,72.01
DXPE,DXPE US EQUITY,2025-09-30,canonical,,operating_margin_gaap,8.5061,13.12,-70.7100000000001,30.87,-71.5400000000001
DXPE,DXPE US EQUITY,2025-12-31,canonical,,operating_margin_gaap,8.8494,50.5799999999999,37.4599999999999,-47.0800000000001,34.3299999999999
DXPE,DXPE US EQUITY,2026-03-31,canonical,,operating_margin_gaap,9.3,79.86,29.2800000000002,-64.3,45.0600000000001
DXPE,DXPE US EQUITY,2026-06-30,canonical,,operating_margin_gaap,10,77.8499999999999,-2.0100000000001,-5.98000000000009,69.9999999999999
DXPE,DXPE US EQUITY,2026-09-30,canonical,,operating_margin_gaap,9.7,119.39,41.54,106.27,-30.0000000000001
DXPE,DXPE US EQUITY,2026-12-31,canonical,,operating_margin_gaap,9.9,105.06,-14.3299999999998,54.4800000000002,20.0000000000001
DXPE,DXPE US EQUITY,2027-03-31,canonical,,operating_margin_gaap,9.9,60,-45.0600000000002,-19.8600000000001,0
DXPE,DXPE US EQUITY,2027-06-30,canonical,,operating_margin_gaap,10.1,9.99999999999996,-50,-67.85,19.9999999999999
DXPE,DXPE US EQUITY,2027-09-30,canonical,,operating_margin_gaap,10.1,40,30.0000000000001,-79.3899999999999,0
DXPE,DXPE US EQUITY,2027-12-31,canonical,,operating_margin_gaap,9.8,-9.99999999999996,-50,-115.06,-29.9999999999999
DXPE,DXPE US EQUITY,2025-03-31,custom,,MRO_revenues,327.1,0.134188626907074,-751.498944937046,1572.23857259377,0.0524453024453024
DXPE,DXPE US EQUITY,2025-06-30,custom,,MRO_revenues,339.7,0.108319738988581,-258.688879184932,811.749668706181,0.0385203301742585
DXPE,DXPE US EQUITY,2025-09-30,custom,,MRO_revenues,350.2,0.105429292929293,-28.9044605928779,297.07730959853,0.0309096261407125
DXPE,DXPE US EQUITY,2025-12-31,custom,,MRO_revenues,356.2,0.146074646074646,406.453531453532,-632.638753261323,0.0171330668189607
DXPE,DXPE US EQUITY,45747,custom,,engineered_parts_revenues,86.2,0.385852090032154,2855.13871317385,3826.26283580541,-0.116803278688524
DXPE,DXPE US EQUITY,45838,custom,,engineered_parts_revenues,93.5,0.273841961852861,-1120.10128179293,1161.13255228255,0.0846867749419953
DXPE,DXPE US EQUITY,45930,custom,,engineered_parts_revenues,100.6,0.120267260579064,-1535.74701273796,-4017.6663772602,0.0759358288770053
DXPE,DXPE US EQUITY,46022,custom,,engineered_parts_revenues,110,0.127049180327869,67.8191974880438,267.109616131001,0.0934393638170974
